InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Price,SpotPrice,Region,AvailabilityZone,Generation,QuotaGroup,PremiumStorageCapable
Standard_A1_v2,,,1,2,,0.05,0.00924,australiacentral,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.05,0.00924,australiaeast,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.05,0.00924,australiasoutheast,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.041,0.007577,austriaeast,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.041,0.007577,belgiumcentral,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.061,0.009608,brazilsouth,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.065,0.015407,canadacentral,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.043,0.012012,canadaeast,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.047,,centralindia,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.043,0.007151,centralus,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.05,0.00924,eastasia,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.043,0.008428,eastus,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.043,0.020588,eastus2,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.05,0.00924,francecentral,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.041,0.007577,germanywestcentral,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.0421,0.012566,indonesiacentral,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.0432,0.007983,israelcentral,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.041,0.007577,italynorth,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.081,0.009979,japaneast,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.054,0.009979,japanwest,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.049,0.009055,koreacentral,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.044,0.008131,koreasouth,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.0421,0.012566,malaysiawest,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.0474,,mexicocentral,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.0586,0.010829,newzealandnorth,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.043,0.007946,northcentralus,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.062,0.011458,northeurope,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.0451,0.008334,norwayeast,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.041,0.007577,polandcentral,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.0892,0.007983,qatarcentral,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.0482,0.008907,southafricanorth,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.043,0.007946,southcentralus,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.045,0.008316,southeastasia,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.047,0.008686,southindia,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.041,0.011458,spaincentral,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.041,0.007569,swedencentral,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.0451,0.008334,switzerlandnorth,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.0892,0.008005,uaenorth,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.041,0.00542,uksouth,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.05,0.014045,ukwest,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.04,0.010903,westcentralus,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.041,0.007577,westeurope,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.07,0.008686,westindia,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.043,0.012012,westus,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.036,0.009979,westus2,,V1,standardav2family,false
Standard_A1_v2,,,1,2,,0.036,0.006484,westus3,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.105,0.029383,australiacentral,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.105,0.019404,australiaeast,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.105,0.019404,australiasoutheast,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.0861,0.015911,austriaeast,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.13,0.015911,belgiumcentral,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.128,0.02016,brazilsouth,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.0903,0.032354,canadacentral,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.136,0.016687,canadaeast,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.098,,centralindia,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.0903,0.015017,centralus,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.159,0.019404,eastasia,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.136,0.017699,eastus,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.0903,0.043236,eastus2,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.105,0.019404,francecentral,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.0861,0.015911,germanywestcentral,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.0885,0.016355,indonesiacentral,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.0907,0.016761,israelcentral,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.0861,0.015911,italynorth,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.113,0.020882,japaneast,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.113,0.020882,japanwest,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.102,0.01885,koreacentral,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.092,0.017002,koreasouth,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.0885,0.016355,malaysiawest,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.0996,,mexicocentral,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.123,0.02273,newzealandnorth,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.0903,,northcentralus,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.0861,0.015911,northeurope,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.0947,0.017501,norwayeast,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.0861,0.015911,polandcentral,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.183,0.016854,qatarcentral,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.101,0.018665,southafricanorth,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.0903,0.016687,southcentralus,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.0945,0.026313,southeastasia,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.098,0.01811,southindia,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.0861,0.015911,spaincentral,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.0861,0.015894,swedencentral,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.0947,0.017501,switzerlandnorth,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.183,0.016807,uaenorth,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.087,0.011501,uksouth,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.105,0.019404,ukwest,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.083,0.015338,westcentralus,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.0861,0.015911,westeurope,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.098,0.01811,westindia,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.0903,0.016687,westus,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.0756,0.020882,westus2,,V1,standardav2family,false
Standard_A2_v2,,,2,4,,0.076,0.013688,westus3,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.138,0.025502,australiacentral,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.138,0.025502,australiaeast,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.138,0.025502,australiasoutheast,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.113,0.020882,austriaeast,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.113,0.034742,belgiumcentral,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.168,0.02646,brazilsouth,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.119,0.069868,canadacentral,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.119,,canadaeast,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.13,0.024024,centralindia,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.119,0.01979,centralus,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.138,0.025502,eastasia,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.119,0.023324,eastus,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.119,0.056977,eastus2,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.138,0.025502,francecentral,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.113,0.020882,germanywestcentral,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,,0.021437,indonesiacentral,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.119,0.021991,israelcentral,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,,0.020882,italynorth,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.149,0.027535,japaneast,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.149,0.027535,japanwest,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.133,0.024578,koreacentral,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.119,0.021991,koreasouth,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.203,0.021437,malaysiawest,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.131,0.04121,mexicocentral,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.162,0.029938,newzealandnorth,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.119,0.021991,northcentralus,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.113,0.020882,northeurope,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.124,0.022915,norwayeast,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.113,0.034742,polandcentral,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.119,0.021991,qatarcentral,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.225,0.024578,southafricanorth,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.188,0.021991,southcentralus,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.124,0.022915,southeastasia,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.13,0.024024,southindia,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.113,0.020882,spaincentral,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.113,0.02086,swedencentral,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.124,0.022915,switzerlandnorth,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.119,0.022051,uaenorth,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.188,0.016393,uksouth,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.138,0.025502,ukwest,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.11,0.020328,westcentralus,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.113,0.020882,westeurope,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.13,0.024024,westindia,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.119,0.021991,westus,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.099,0.018295,westus2,,V1,standardav2family,false
Standard_A2m_v2,,,2,16,,0.099,0.027015,westus3,,V1,standardav2family,false
Standard_A4_v2,,,4,8,,,0.041026,australiacentral,,V1,standardav2family,false
Standard_A4_v2,,,4,8,,0.222,0.041026,australiaeast,,V1,standardav2family,false
Standard_A4_v2,,,4,8,,0.222,0.041026,australiasoutheast,,V1,standardav2family,false
Standard_A4_v2,,,4,8,,0.274,0.033634,austriaeast,,V1,standardav2family,false
Standard_A4_v2,,,4,8,,0.182,0.033634,belgiumcentral,,V1,standardav2family,false
Standard_A4_v2,,,4,8,,0.27,0.042525,brazilsouth,,V1,standardav2family,false
Standard_A4_v2,,,4,8,,0.191,0.068435,canadacentral,,V1,standardav2family,false
Standard_A4_v2,,,4,8,,0.191,0.035297,canadaeast,,V1,standardav2family,false
Standard_A4_v2,,,4,8,,0.206,0.038069,centralindia,,V1,standardav2family,false
Standard_A4_v2,,,4,8,,0.191,0.047562,centralus,,V1,standardav2family,false
Standard_A4_v2,,,4,8,,0.222,0.041026,eastasia,,V1,standardav2family,false
Standard_A4_v2,,,4,8,,0.191,0.037436,eastus,,V1,standardav2family,false
Standard_A4_v2,,,4,8,,0.286,0.091451,eastus2,,V1,standardav2family,false
Standard_A4_v2,,,4,8,,0.222,0.061538,francecentral,,V1,standardav2family,false
Standard_A4_v2,,,4,8,,0.182,0.033634,germanywestcentral,,V1,standardav2family,false
Standard_A4_v2,,,4,8,,,0.034558,indonesiacentral,,V1,standardav2family,false
Standard_A4_v2,,,4,8,,0.192,0.035482,israelcentral,,V1,standardav2family,false
Standard_A4_v2,,,4,8,,0.182,0.033634,italynorth,,V1,standardav2family,false
Standard_A4_v2,,,4,8,,0.238,0.065974,japaneast,,V1,standardav2family,false
